output from mainChangeNL.sh

N         Na        Nb        Nc        L         Ta        S/F       
160       360       80        2         7.5       3.645     FM        
160       360       80        2         7.5       3.645     FM        
170       360       80        2         7.5       3.645     FM        
160       360       80        2         7.5       3.645     FM        
170       360       80        2         7.5       3.645     FM        
150       300       80        2         5         3.037     S         
150       300       80        2         4         3.037     S         
150       300       80        4         4         3.037     S         
150       300       80        4         4         3.037     S         
