  150217125940   130   382       5      0.8    0.05     0       19.1308       10.9453   -0.420005   1.40657e-15     0.0243389     0.0228136
  150217130630   130   382       5   0.7999    0.05     0       19.1115       10.9586   -0.389163   3.73786e-07      0.022991     0.0215236
  150217130630   130   382       5 0.799699    0.05     0       19.0496       10.9583   -0.289987   3.22526e-08     0.0210725     0.0198186
  150217130630   130   382       5 0.799498    0.05     0       19.0192       10.9593    -0.24131   4.41919e-07     0.0195787     0.0185962
  150217130630   130   382       5 0.799297    0.05     0       18.9717       10.9475   -0.165272   1.53058e-07      0.018468     0.0177273
  150217130630   130   382       5 0.799096    0.05     0       18.9331       10.9356     -0.1034   6.66196e-08     0.0175371     0.0170275
  150217130630   130   382       5 0.798895    0.05     0        18.898       10.9227  -0.0472392   3.35822e-08     0.0167464      0.016451
  150217130630   130   382       5 0.798694    0.05     0       18.8949       10.9222  -0.0422141   9.26649e-07     0.0159328     0.0158912
  150217130630   130   382       5 0.798493    0.05     0       18.8542       10.9037   0.0227981   6.80472e-07     0.0153691     0.0154938
  150217130630   130   382       5 0.798292    0.05     0       18.8176       10.8861   0.0813083   5.19789e-07     0.0148657     0.0151451
  150217130630   130   382       5 0.798091    0.05     0       18.7835       10.8689    0.135865   4.06676e-07     0.0144149     0.0148369
  150217130630   130   382       5  0.79789    0.05     0       18.7511       10.8518    0.187688   3.24261e-07     0.0140098     0.0145624
  150217130630   130   382       5 0.797689    0.05     0       18.7199       10.8348    0.237531    2.6252e-07     0.0136444     0.0143165
  150217130630   130   382       5 0.797488    0.05     0       18.6896       10.8178    0.285879   2.15215e-07     0.0133137      0.014095
  150217130630   130   382       5 0.797287    0.05     0       18.6601       10.8008    0.333064   1.78302e-07     0.0130137     0.0138943
  150217130630   130   382       5 0.797086    0.05     0       18.6311       10.7837     0.37932   1.49065e-07     0.0127407     0.0137118
  150217130630   130   382       5 0.796885    0.05     0       18.6026       10.7667    0.424816   1.25621e-07     0.0124918      0.013545
  150217130630   130   382       5 0.796684    0.05     0       18.5745       10.7496     0.46968   1.06633e-07     0.0122643     0.0133921
  150217130630   130   382       5 0.796483    0.05     0       18.5467       10.7325    0.514011   9.11241e-08     0.0120559     0.0132512
  150217130630   130   382       5 0.796282    0.05     0       18.5192       10.7153    0.557887    7.8367e-08     0.0118647     0.0131211
  150217130630   130   382       5 0.796081    0.05     0        18.492       10.6982    0.601368   6.78102e-08     0.0116888     0.0130004
