  150217135726   130   382  5     0.8    0.05   0.0001       11.6337       6.91321     11.5753   8.60649e-07       1.95378      0.653352
  150217135726   130   382  5     0.8    0.05 0.000101       11.6212       6.91214     11.5953   1.10061e-10       1.95373      0.653321
  150217135726   130   382  5     0.8    0.05 0.000102       11.6214       6.91207      11.595   6.62084e-11       1.95373      0.653305
  150217135726   130   382  5     0.8    0.05 0.000103       11.6216         6.912     11.5947   6.34366e-11       1.95373      0.653289
  150217135726   130   382  5     0.8    0.05 0.000104       11.6217       6.91193     11.5945   6.08079e-11       1.95373      0.653273
  150217135726   130   382  5     0.8    0.05 0.000105       11.6219       6.91187     11.5942   5.83137e-11       1.95373      0.653258
  150217135726   130   382  5     0.8    0.05 0.000106       11.6221        6.9118      11.594   5.59457e-11       1.95373      0.653243
  150217135726   130   382  5     0.8    0.05 0.000107       11.6222       6.91173     11.5937   5.36964e-11       1.95373      0.653229
  150217135726   130   382  5     0.8    0.05 0.000108       11.6223       6.91166     11.5935   5.15587e-11       1.95373      0.653216
  150217135726   130   382       5     0.8    0.05 0.000109       11.6225        6.9116     11.5933   4.95261e-11       1.95373      0.653203
  150217135726   130   382       5     0.8    0.05 0.00011       11.6226       6.91153     11.5931   4.75925e-11       1.95373       0.65319
  150217135726   130   382       5     0.8    0.05 0.000111       11.6227       6.91146     11.5929   4.57522e-11       1.95372      0.653178
  150217135726   130   382       5     0.8    0.05 0.000112       11.6229       6.91139     11.5927   4.39998e-11       1.95372      0.653166
  150217135726   130   382       5     0.8    0.05 0.000113        11.623       6.91132     11.5925   4.23302e-11       1.95372      0.653154
  150217135726   130   382       5     0.8    0.05 0.000114       11.6231       6.91126     11.5923    4.0739e-11       1.95372      0.653143
  150217135726   130   382       5     0.8    0.05 0.000115       11.6232       6.91119     11.5921   3.92217e-11       1.95372      0.653133
  150217135726   130   382       5     0.8    0.05 0.000116       11.6233       6.91112     11.5919   3.77743e-11       1.95372      0.653122
  150217135726   130   382       5     0.8    0.05 0.000117       11.6234       6.91105     11.5918   3.63928e-11       1.95372      0.653112
  150217135726   130   382       5     0.8    0.05 0.000118       11.6235       6.91098     11.5916   3.50739e-11       1.95372      0.653103
  150217135726   130   382       5     0.8    0.05 0.000119       11.6236       6.91091     11.5914    3.3814e-11       1.95372      0.653094
  150217135726   130   382       5     0.8    0.05 0.00012       11.6237       6.91085     11.5913   3.26101e-11       1.95372      0.653085
  150217135726   130   382       5     0.8    0.05 0.000121       11.6238       6.91078     11.5911   3.14593e-11       1.95372      0.653076
  150217135726   130   382       5     0.8    0.05 0.000122       11.6239       6.91071      11.591   3.03586e-11       1.95372      0.653068
  150217135726   130   382       5     0.8    0.05 0.000123        11.624       6.91064     11.5909   2.93056e-11       1.95372       0.65306
  150217135726   130   382       5     0.8    0.05 0.000124       11.6241       6.91057     11.5907   2.82978e-11       1.95372      0.653052
  150217135726   130   382       5     0.8    0.05 0.000125       11.6242        6.9105     11.5906   2.73329e-11       1.95372      0.653045
  150217135726   130   382       5     0.8    0.05 0.000126       11.6242       6.91044     11.5905   2.64087e-11       1.95372      0.653038
  150217135726   130   382       5     0.8    0.05 0.000127       11.6243       6.91037     11.5904   2.55232e-11       1.95372      0.653031
  150217135726   130   382       5     0.8    0.05 0.000128       11.6244        6.9103     11.5902   2.46744e-11       1.95372      0.653025
  150217135726   130   382       5     0.8    0.05 0.000129       11.6245       6.91023     11.5901   2.38606e-11       1.95372      0.653018
  150217135726   130   382       5     0.8    0.05 0.00013       11.6245       6.91016       11.59     2.308e-11       1.95372      0.653012
  150217135726   130   382       5     0.8    0.05 0.000131       11.6246       6.91009     11.5899    2.2331e-11       1.95372      0.653007
  150217135726   130   382       5     0.8    0.05 0.000132       11.6247       6.91002     11.5898   2.16121e-11       1.95372      0.653001
  150217135726   130   382       5     0.8    0.05 0.000133       11.6247       6.90996     11.5897   2.09219e-11       1.95372      0.652996
  150217135726   130   382       5     0.8    0.05 0.000134       11.6248       6.90989     11.5896   2.02589e-11       1.95372      0.652991
  150217135726   130   382       5     0.8    0.05 0.000135       11.6248       6.90982     11.5895    1.9622e-11       1.95372      0.652986
  150217135726   130   382       5     0.8    0.05 0.000136       11.6249       6.90975     11.5895   1.90099e-11       1.95372      0.652982
  150217135726   130   382       5     0.8    0.05 0.000137       11.6249       6.90968     11.5894   1.84215e-11       1.95372      0.652977
  150217135726   130   382       5     0.8    0.05 0.000138        11.625       6.90961     11.5893   1.78557e-11       1.95372      0.652973
  150217135726   130   382       5     0.8    0.05 0.000139        11.625       6.90955     11.5892   1.73113e-11       1.95372      0.652969
  150217135726   130   382       5     0.8    0.05 0.00014       11.6251       6.90948     11.5892   1.67875e-11       1.95372      0.652965
  150217135726   130   382       5     0.8    0.05 0.000141       11.6251       6.90941     11.5891   1.62834e-11       1.95372      0.652962
  150217135726   130   382       5     0.8    0.05 0.000142       11.6252       6.90934      11.589    1.5798e-11       1.95372      0.652959
  150217135726   130   382       5     0.8    0.05 0.000143       11.6252       6.90927      11.589   1.53306e-11       1.95372      0.652955
  150217135726   130   382       5     0.8    0.05 0.000144       11.6252        6.9092     11.5889   1.48803e-11       1.95372      0.652952
  150217135726   130   382       5     0.8    0.05 0.000145       11.6253       6.90914     11.5889   1.44464e-11       1.95372       0.65295
  150217135726   130   382       5     0.8    0.05 0.000146       11.6253       6.90907     11.5888   1.40282e-11       1.95372      0.652947
  150217135726   130   382       5     0.8    0.05 0.000147       11.6253         6.909     11.5888    1.3625e-11       1.95372      0.652945
