130             80              5               0.8             18.2390         10.4598         11.28           
130             80              5               0.795           17.6295         10.1000         11.08           
130             80              5               0.79            17.0396         9.7523          10.86           
130             80              5               0.785           16.4690         9.4106          10.66           
130             80              5               0.78            15.9162         9.0753          10.45           
130             80              5               0.775           15.3812         8.7481          10.24           
130             80              5               0.77            14.8638         8.4301          10.03           
130             80              5               0.765           14.3637         8.1222          9.821           
130             80              5               0.76            13.8809         7.8247          9.607           
130             80              5               0.755           13.4152         7.5380          9.392           
130             80              5               0.75            12.9664         7.2622          9.175           
130             80              5               0.745           12.5344         6.9973          8.957           
